fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.05682,1.0,88.0,5.0,0.0,100249537_00064_1,0.946236559139785,1.0,0.9723756906077349
0.03788,1.0,132.0,5.0,0.0,200021853-00008_1,0.9635036496350365,1.0,0.9814126394052044
0.0031,0.89474,289.0,1.0,34.0,200004148_00039_2,0.996551724137931,0.8947368421052632,0.9429037520391518
0.0228,0.99674,306.0,7.0,1.0,200014740-00071_1,0.9776357827476039,0.996742671009772,0.9870967741935485
0.02577,0.98454,191.0,5.0,3.0,umgy012-007,0.9744897959183674,0.9845360824742269,0.9794871794871796
0.05,0.9,54.0,3.0,6.0,200021869-00016_2,0.9473684210526315,0.9,0.9230769230769231
0.01676,0.9581,343.0,6.0,15.0,brsk005-037,0.9828080229226361,0.9581005586592178,0.9702970297029703
0.00739,0.95567,388.0,3.0,18.0,brsk004-036,0.9923273657289002,0.9556650246305419,0.973651191969887
0.0,0.98,343.0,0.0,7.0,200021660-00042_2,1.0,0.98,0.98989898989899
0.01571,0.98953,189.0,3.0,2.0,200003076_00162_1,0.984375,0.9895287958115183,0.9869451697127937
0.0,0.99441,178.0,0.0,1.0,200005598_00027_2,1.0,0.994413407821229,0.9971988795518207
0.0,0.99563,228.0,0.0,1.0,200003076_00006_1,1.0,0.9956331877729258,0.9978118161925601
0.0297,0.9901,100.0,3.0,1.0,200021851_00007_2,0.970873786407767,0.9900990099009901,0.9803921568627452
0.0875,0.9625,77.0,7.0,3.0,hnsd004-003,0.9166666666666666,0.9625,0.9390243902439025
0.03911,0.97207,174.0,7.0,5.0,umgy006-034,0.9613259668508287,0.9720670391061452,0.9666666666666666
0.01719,0.9914,346.0,6.0,3.0,brsk002-029,0.9829545454545454,0.9914040114613181,0.9871611982881598
0.01613,1.0,186.0,3.0,0.0,umgy009-002,0.9841269841269841,1.0,0.9919999999999999
0.00885,0.98673,223.0,2.0,3.0,200003076_00056_2,0.9911111111111112,0.9867256637168141,0.9889135254988914
0.00631,0.99685,316.0,2.0,1.0,200014740-00018_2,0.9937106918238994,0.9968454258675079,0.9952755905511811
0.05291,0.98413,186.0,10.0,3.0,100249476_00014_2,0.9489795918367347,0.9841269841269841,0.9662337662337662
0.00813,0.99187,122.0,1.0,1.0,200021712-00010_2,0.991869918699187,0.991869918699187,0.991869918699187
0.04233,0.96296,182.0,8.0,7.0,200005598_00021_2,0.9578947368421052,0.9629629629629629,0.9604221635883904
0.03145,0.96855,154.0,5.0,5.0,100249416_00027_2,0.9685534591194969,0.9685534591194969,0.9685534591194969
0.02273,0.98864,87.0,2.0,1.0,200021853-00032_2,0.9775280898876404,0.9886363636363636,0.983050847457627
0.11111,0.96296,26.0,3.0,1.0,200021869-00015_2,0.896551724137931,0.9629629629629629,0.9285714285714286
0.05102,0.9898,97.0,5.0,1.0,100249376_00027_1,0.9509803921568627,0.9897959183673469,0.9700000000000001
0.02717,0.99457,183.0,5.0,1.0,umgy009-005,0.973404255319149,0.9945652173913043,0.9838709677419355
0.07143,1.0,28.0,2.0,0.0,100249537_00031_1,0.9333333333333333,1.0,0.9655172413793104
0.01653,0.98347,119.0,2.0,2.0,200015779_00013_1,0.9834710743801653,0.9834710743801653,0.9834710743801653
0.03086,0.91975,149.0,5.0,13.0,200021763-00027_2,0.9675324675324676,0.9197530864197531,0.9430379746835443
0.01643,0.95775,408.0,7.0,18.0,200022050-00011_2,0.983132530120482,0.9577464788732394,0.9702734839476813
0.11905,0.98214,165.0,20.0,3.0,200021712-00031_1,0.8918918918918919,0.9821428571428571,0.934844192634561
0.00629,0.98742,157.0,1.0,2.0,200021712-00014_1,0.9936708860759493,0.9874213836477987,0.9905362776025236
0.5,0.5,3.0,3.0,3.0,hnsd003-013,0.5,0.5,0.5
0.00465,0.99535,214.0,1.0,1.0,200003076_00160_2,0.9953488372093023,0.9953488372093023,0.9953488372093023
0.01667,0.92083,221.0,4.0,19.0,200015779_00022_1,0.9822222222222222,0.9208333333333333,0.9505376344086022
0.0197,0.96059,195.0,4.0,8.0,hnsd006-008,0.9798994974874372,0.9605911330049262,0.9701492537313434
0.0,0.98034,349.0,0.0,7.0,brsk002-045,1.0,0.9803370786516854,0.9900709219858156
0.00758,0.91667,242.0,2.0,22.0,200015779_00020_2,0.9918032786885246,0.9166666666666666,0.952755905511811
0.04575,0.99346,152.0,7.0,1.0,200015779_00074_2,0.9559748427672956,0.9934640522875817,0.9743589743589743
0.02388,0.98209,329.0,8.0,6.0,brsk003-039,0.9762611275964391,0.982089552238806,0.9791666666666665
0.175,1.0,40.0,7.0,0.0,100249537_00004_1,0.851063829787234,1.0,0.9195402298850576
1.76471,0.64706,11.0,30.0,6.0,200021660-00029_2,0.2682926829268293,0.6470588235294118,0.3793103448275862
0.0087,0.9913,228.0,2.0,2.0,200003076_00049_1,0.991304347826087,0.991304347826087,0.991304347826087
0.02304,0.95392,207.0,5.0,10.0,umgy012-035,0.9764150943396226,0.9539170506912442,0.965034965034965
0.22222,1.0,27.0,6.0,0.0,100249537_00075_1,0.8181818181818182,1.0,0.9
0.00866,0.99567,230.0,2.0,1.0,200003076_00106_2,0.9913793103448276,0.9956709956709957,0.9935205183585313
0.33333,0.0,0.0,1.0,3.0,200021869-00003_1,0.0,0.0,
0.00469,0.98592,210.0,1.0,3.0,200015779_00131_1,0.995260663507109,0.9859154929577465,0.9905660377358492
0.00952,0.99048,208.0,2.0,2.0,200015779_00150_2,0.9904761904761905,0.9904761904761905,0.9904761904761905
0.05512,0.94488,120.0,7.0,7.0,200003967_00040_1,0.9448818897637795,0.9448818897637795,0.9448818897637795
0.5,1.0,12.0,6.0,0.0,200006663_00003_2,0.6666666666666666,1.0,0.8
0.01404,0.90449,322.0,5.0,34.0,200004148_00052_1,0.9847094801223242,0.9044943820224719,0.9428989751098096
0.03365,0.97115,202.0,7.0,6.0,hnsd007-023,0.9665071770334929,0.9711538461538461,0.9688249400479617
0.0082,0.95082,116.0,1.0,6.0,100249376_00050_2,0.9914529914529915,0.9508196721311475,0.9707112970711297
0.07692,0.92308,12.0,1.0,1.0,umgy007-039,0.9230769230769231,0.9230769230769231,0.9230769230769231
0.0099,0.9901,200.0,2.0,2.0,umgy010-019,0.9900990099009901,0.9900990099009901,0.9900990099009901
0.0,0.98667,148.0,0.0,2.0,umgy007-025,1.0,0.9866666666666667,0.9932885906040269
0.0,1.0,3.0,0.0,0.0,umgy003-012,1.0,1.0,1.0
0.04,0.98857,173.0,7.0,2.0,umgy003-031,0.9611111111111111,0.9885714285714285,0.9746478873239437
0.03704,0.98765,80.0,3.0,1.0,100249537_00085_1,0.963855421686747,0.9876543209876543,0.975609756097561
0.1,1.0,90.0,9.0,0.0,100249537_00039_2,0.9090909090909091,1.0,0.9523809523809523
0.01064,0.99468,187.0,2.0,1.0,hnsd006-030,0.9894179894179894,0.9946808510638298,0.9920424403183024
0.06569,0.9708,133.0,9.0,4.0,100249416_00017_1,0.9366197183098591,0.9708029197080292,0.9534050179211471
0.08416,0.9901,200.0,17.0,2.0,200021660-00031_2,0.9216589861751152,0.9900990099009901,0.954653937947494
0.0493,0.97887,139.0,7.0,3.0,200021763-00019_2,0.952054794520548,0.9788732394366197,0.9652777777777778
0.00935,0.99533,213.0,2.0,1.0,200003076_00021_2,0.9906976744186047,0.9953271028037384,0.9930069930069931
0.0266,1.0,188.0,5.0,0.0,hnsd011-007,0.9740932642487047,1.0,0.9868766404199476
0.0099,0.9901,100.0,1.0,1.0,200021660-00093_2,0.9900990099009901,0.9900990099009901,0.9900990099009901
0.03448,0.93534,217.0,8.0,15.0,200015779_00021_2,0.9644444444444444,0.9353448275862069,0.949671772428884
0.0,1.0,105.0,0.0,0.0,100241706_00020_1,1.0,1.0,1.0
0.016,0.992,124.0,2.0,1.0,umgy001-013,0.9841269841269841,0.992,0.9880478087649401
0.01111,0.98333,177.0,2.0,3.0,hnsd001-035,0.9888268156424581,0.9833333333333333,0.9860724233983287
0.01471,0.98529,134.0,2.0,2.0,200021660-00081_2,0.9852941176470589,0.9852941176470589,0.9852941176470589
0.02162,0.96757,179.0,4.0,6.0,hnsd005-029,0.9781420765027322,0.9675675675675676,0.9728260869565217
0.025980015372790162,0.9726364335126826,12654.0,338.0,356.0,fold0,0.9739839901477833,0.9726364335126826,0.9733097454041997
0.02273,1.0,88.0,2.0,0.0,100249537_00064_1,0.9777777777777777,1.0,0.9887640449438202
0.02273,1.0,132.0,3.0,0.0,200021853-00008_1,0.9777777777777777,1.0,0.9887640449438202
0.0,0.90402,292.0,0.0,31.0,200004148_00039_2,1.0,0.9040247678018576,0.9495934959349593
0.0228,0.99674,306.0,7.0,1.0,200014740-00071_1,0.9776357827476039,0.996742671009772,0.9870967741935485
0.02577,0.96907,188.0,5.0,6.0,umgy012-007,0.9740932642487047,0.9690721649484536,0.9715762273901809
0.06667,0.91667,55.0,4.0,5.0,200021869-00016_2,0.9322033898305084,0.9166666666666666,0.9243697478991596
0.01117,0.94972,340.0,4.0,18.0,brsk005-037,0.9883720930232558,0.9497206703910615,0.9686609686609686
0.00985,0.95074,386.0,4.0,20.0,brsk004-036,0.9897435897435898,0.9507389162561576,0.9698492462311559
0.00286,0.98857,346.0,1.0,4.0,200021660-00042_2,0.9971181556195965,0.9885714285714285,0.9928263988522237
0.01571,0.98429,188.0,3.0,3.0,200003076_00162_1,0.9842931937172775,0.9842931937172775,0.9842931937172775
0.00559,1.0,179.0,1.0,0.0,200005598_00027_2,0.9944444444444445,1.0,0.9972144846796658
0.02183,0.99563,228.0,5.0,1.0,200003076_00006_1,0.9785407725321889,0.9956331877729258,0.9870129870129871
0.0198,0.9901,100.0,2.0,1.0,200021851_00007_2,0.9803921568627451,0.9900990099009901,0.9852216748768472
0.2,0.975,78.0,16.0,2.0,hnsd004-003,0.8297872340425532,0.975,0.896551724137931
0.04469,0.97207,174.0,8.0,5.0,umgy006-034,0.9560439560439561,0.9720670391061452,0.96398891966759
0.01433,0.98567,344.0,5.0,5.0,brsk002-029,0.9856733524355301,0.9856733524355301,0.9856733524355301
0.01613,1.0,186.0,3.0,0.0,umgy009-002,0.9841269841269841,1.0,0.9919999999999999
0.0177,0.9823,222.0,4.0,4.0,200003076_00056_2,0.9823008849557522,0.9823008849557522,0.9823008849557522
0.00946,0.99369,315.0,3.0,2.0,200014740-00018_2,0.9905660377358491,0.9936908517350158,0.9921259842519686
0.04762,0.97884,185.0,9.0,4.0,100249476_00014_2,0.9536082474226805,0.9788359788359788,0.9660574412532638
0.01626,1.0,123.0,2.0,0.0,200021712-00010_2,0.984,1.0,0.9919354838709677
