fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.05682,1.0,88.0,5.0,0.0,100249537_00064_1,0.946236559139785,1.0,0.9723756906077349
0.0303,0.96212,127.0,4.0,5.0,200021853-00008_1,0.9694656488549618,0.9621212121212122,0.9657794676806084
0.0031,0.90402,292.0,1.0,31.0,200004148_00039_2,0.9965870307167235,0.9040247678018576,0.948051948051948
0.0228,0.99349,305.0,7.0,2.0,200014740-00071_1,0.9775641025641025,0.993485342019544,0.98546042003231
0.02062,0.96907,188.0,4.0,6.0,umgy012-007,0.9791666666666666,0.9690721649484536,0.9740932642487047
0.06667,0.88333,53.0,4.0,7.0,200021869-00016_2,0.9298245614035088,0.8833333333333333,0.905982905982906
0.01955,0.93855,336.0,7.0,22.0,brsk005-037,0.9795918367346939,0.9385474860335196,0.9586305278174037
0.00985,0.94335,383.0,4.0,23.0,brsk004-036,0.9896640826873385,0.9433497536945813,0.965952080706179
0.0,0.97429,341.0,0.0,9.0,200021660-00042_2,1.0,0.9742857142857143,0.9869753979739508
0.01047,0.98953,189.0,2.0,2.0,200003076_00162_1,0.9895287958115183,0.9895287958115183,0.9895287958115183
0.01117,0.98324,176.0,2.0,3.0,200005598_00027_2,0.9887640449438202,0.9832402234636871,0.9859943977591036
0.00437,0.99563,228.0,1.0,1.0,200003076_00006_1,0.9956331877729258,0.9956331877729258,0.9956331877729258
0.0198,0.9802,99.0,2.0,2.0,200021851_00007_2,0.9801980198019802,0.9801980198019802,0.9801980198019802
0.1375,0.9375,75.0,11.0,5.0,hnsd004-003,0.872093023255814,0.9375,0.9036144578313252
0.03352,0.98324,176.0,6.0,3.0,umgy006-034,0.967032967032967,0.9832402234636871,0.9750692520775622
0.0086,0.98281,343.0,3.0,6.0,brsk002-029,0.9913294797687862,0.9828080229226361,0.9870503597122302
0.02688,0.99462,185.0,5.0,1.0,umgy009-002,0.9736842105263158,0.9946236559139785,0.9840425531914894
0.0177,0.98673,223.0,4.0,3.0,200003076_00056_2,0.9823788546255506,0.9867256637168141,0.9845474613686535
0.00631,1.0,317.0,2.0,0.0,200014740-00018_2,0.9937304075235109,1.0,0.9968553459119497
0.02646,0.96825,183.0,5.0,6.0,100249476_00014_2,0.973404255319149,0.9682539682539683,0.9708222811671088
0.00813,1.0,123.0,1.0,0.0,200021712-00010_2,0.9919354838709677,1.0,0.9959514170040485
0.04233,0.95238,180.0,8.0,9.0,200005598_00021_2,0.9574468085106383,0.9523809523809523,0.9549071618037136
0.02516,0.95597,152.0,4.0,7.0,100249416_00027_2,0.9743589743589743,0.9559748427672956,0.9650793650793651
0.02273,0.97727,86.0,2.0,2.0,200021853-00032_2,0.9772727272727273,0.9772727272727273,0.9772727272727273
0.14815,0.92593,25.0,4.0,2.0,200021869-00015_2,0.8620689655172413,0.9259259259259259,0.8928571428571429
0.08163,0.9898,97.0,8.0,1.0,100249376_00027_1,0.9238095238095239,0.9897959183673469,0.9556650246305419
0.02174,0.98913,182.0,4.0,2.0,umgy009-005,0.978494623655914,0.9891304347826086,0.9837837837837837
0.14286,1.0,28.0,4.0,0.0,100249537_00031_1,0.875,1.0,0.9333333333333333
0.05785,0.84298,102.0,7.0,19.0,200015779_00013_1,0.9357798165137615,0.8429752066115702,0.8869565217391305
0.02469,0.88889,144.0,4.0,18.0,200021763-00027_2,0.972972972972973,0.8888888888888888,0.9290322580645162
0.00704,0.93192,397.0,3.0,29.0,200022050-00011_2,0.9925,0.931924882629108,0.9612590799031476
0.14881,0.98214,165.0,25.0,3.0,200021712-00031_1,0.868421052631579,0.9821428571428571,0.9217877094972068
0.0,0.98742,157.0,0.0,2.0,200021712-00014_1,1.0,0.9874213836477987,0.9936708860759493
0.16667,0.83333,5.0,1.0,1.0,hnsd003-013,0.8333333333333334,0.8333333333333334,0.8333333333333334
0.00465,0.99535,214.0,1.0,1.0,200003076_00160_2,0.9953488372093023,0.9953488372093023,0.9953488372093023
0.01667,0.9125,219.0,4.0,21.0,200015779_00022_1,0.9820627802690582,0.9125,0.9460043196544276
0.00985,0.95567,194.0,2.0,9.0,hnsd006-008,0.9897959183673469,0.9556650246305419,0.9724310776942356
0.00281,0.96629,344.0,1.0,12.0,brsk002-045,0.9971014492753624,0.9662921348314607,0.9814550641940086
0.01894,0.79545,210.0,5.0,54.0,200015779_00020_2,0.9767441860465116,0.7954545454545454,0.8768267223382046
0.03922,0.97386,149.0,6.0,4.0,200015779_00074_2,0.9612903225806452,0.9738562091503268,0.9675324675324675
0.02388,0.96119,322.0,8.0,13.0,brsk003-039,0.9757575757575757,0.9611940298507463,0.968421052631579
0.2,1.0,40.0,8.0,0.0,100249537_00004_1,0.8333333333333334,1.0,0.9090909090909091
1.94118,0.76471,13.0,33.0,4.0,200021660-00029_2,0.2826086956521739,0.7647058823529411,0.4126984126984127
0.00435,0.9913,228.0,1.0,2.0,200003076_00049_1,0.9956331877729258,0.991304347826087,0.9934640522875816
0.01382,0.91244,198.0,3.0,19.0,umgy012-035,0.9850746268656716,0.9124423963133641,0.9473684210526316
0.22222,1.0,27.0,6.0,0.0,100249537_00075_1,0.8181818181818182,1.0,0.9
0.00866,0.99567,230.0,2.0,1.0,200003076_00106_2,0.9913793103448276,0.9956709956709957,0.9935205183585313
0.33333,0.33333,1.0,1.0,2.0,200021869-00003_1,0.5,0.3333333333333333,0.4
0.01408,0.97653,208.0,3.0,5.0,200015779_00131_1,0.985781990521327,0.9765258215962441,0.9811320754716982
0.01905,0.98571,207.0,4.0,3.0,200015779_00150_2,0.981042654028436,0.9857142857142858,0.983372921615202
0.04724,0.93701,119.0,6.0,8.0,200003967_00040_1,0.952,0.937007874015748,0.9444444444444443
0.58333,1.0,12.0,7.0,0.0,200006663_00003_2,0.631578947368421,1.0,0.7741935483870968
0.00562,0.89326,318.0,2.0,38.0,200004148_00052_1,0.99375,0.8932584269662921,0.9408284023668638
0.01923,0.9375,195.0,4.0,13.0,hnsd007-023,0.9798994974874372,0.9375,0.9582309582309583
0.02459,0.97541,119.0,3.0,3.0,100249376_00050_2,0.9754098360655737,0.9754098360655737,0.9754098360655737
0.07692,0.84615,11.0,1.0,2.0,umgy007-039,0.9166666666666666,0.8461538461538461,0.8799999999999999
0.00495,0.98515,199.0,1.0,3.0,umgy010-019,0.995,0.9851485148514851,0.9900497512437811
0.02667,0.98,147.0,4.0,3.0,umgy007-025,0.9735099337748344,0.98,0.9767441860465117
0.0,1.0,3.0,0.0,0.0,umgy003-012,1.0,1.0,1.0
0.02857,0.98857,173.0,5.0,2.0,umgy003-031,0.9719101123595506,0.9885714285714285,0.9801699716713881
0.03704,0.98765,80.0,3.0,1.0,100249537_00085_1,0.963855421686747,0.9876543209876543,0.975609756097561
0.07778,1.0,90.0,7.0,0.0,100249537_00039_2,0.9278350515463918,1.0,0.9625668449197862
0.00532,0.9734,183.0,1.0,5.0,hnsd006-030,0.9945652173913043,0.973404255319149,0.9838709677419355
0.08759,0.9781,134.0,12.0,3.0,100249416_00017_1,0.9178082191780822,0.9781021897810219,0.9469964664310954
0.08416,0.9703,196.0,17.0,6.0,200021660-00031_2,0.92018779342723,0.9702970297029703,0.9445783132530121
0.03521,0.97887,139.0,5.0,3.0,200021763-00019_2,0.9652777777777778,0.9788732394366197,0.972027972027972
0.01402,0.99065,212.0,3.0,2.0,200003076_00021_2,0.986046511627907,0.9906542056074766,0.9883449883449883
0.03191,1.0,188.0,6.0,0.0,hnsd011-007,0.9690721649484536,1.0,0.9842931937172774
0.0198,1.0,101.0,2.0,0.0,200021660-00093_2,0.9805825242718447,1.0,0.9901960784313726
0.02586,0.92241,214.0,6.0,18.0,200015779_00021_2,0.9727272727272728,0.9224137931034483,0.9469026548672567
0.01905,1.0,105.0,2.0,0.0,100241706_00020_1,0.9813084112149533,1.0,0.9905660377358491
0.032,0.984,123.0,4.0,2.0,umgy001-013,0.968503937007874,0.984,0.976190476190476
0.01667,0.98333,177.0,3.0,3.0,hnsd001-035,0.9833333333333333,0.9833333333333333,0.9833333333333333
0.01471,0.97059,132.0,2.0,4.0,200021660-00081_2,0.9850746268656716,0.9705882352941176,0.9777777777777777
0.03243,0.94595,175.0,6.0,10.0,hnsd005-029,0.9668508287292817,0.9459459459459459,0.9562841530054644
0.027209838585703305,0.9607225211375865,12499.0,354.0,511.0,fold0,0.9724577919551856,0.9607225211375865,0.9665545373699881
