fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.03409,1.0,88.0,3.0,0.0,100249537_00064_1,0.967032967032967,1.0,0.9832402234636871
0.03788,0.98485,130.0,5.0,2.0,200021853-00008_1,0.9629629629629629,0.9848484848484849,0.9737827715355806
0.0,0.89474,289.0,0.0,34.0,200004148_00039_2,1.0,0.8947368421052632,0.9444444444444444
0.01303,0.99023,304.0,4.0,3.0,200014740-00071_1,0.987012987012987,0.990228013029316,0.9886178861788618
0.02577,0.97423,189.0,5.0,5.0,umgy012-007,0.9742268041237113,0.9742268041237113,0.9742268041237113
0.08333,0.9,54.0,5.0,6.0,200021869-00016_2,0.9152542372881356,0.9,0.9075630252100839
0.02235,0.93575,335.0,8.0,23.0,brsk005-037,0.9766763848396501,0.9357541899441341,0.9557774607703281
0.00739,0.94581,384.0,3.0,22.0,brsk004-036,0.9922480620155039,0.9458128078817734,0.9684741488020175
0.0,0.97714,342.0,0.0,8.0,200021660-00042_2,1.0,0.9771428571428571,0.9884393063583815
0.00524,0.99476,190.0,1.0,1.0,200003076_00162_1,0.9947643979057592,0.9947643979057592,0.9947643979057592
0.00559,0.98883,177.0,1.0,2.0,200005598_00027_2,0.9943820224719101,0.9888268156424581,0.9915966386554622
0.01747,0.99563,228.0,4.0,1.0,200003076_00006_1,0.9827586206896551,0.9956331877729258,0.9891540130151844
0.0495,1.0,101.0,5.0,0.0,200021851_00007_2,0.9528301886792453,1.0,0.9758454106280194
0.175,0.9375,75.0,14.0,5.0,hnsd004-003,0.8426966292134831,0.9375,0.8875739644970413
0.04469,0.97207,174.0,8.0,5.0,umgy006-034,0.9560439560439561,0.9720670391061452,0.96398891966759
0.0086,0.98281,343.0,3.0,6.0,brsk002-029,0.9913294797687862,0.9828080229226361,0.9870503597122302
0.01613,0.99462,185.0,3.0,1.0,umgy009-002,0.9840425531914894,0.9946236559139785,0.9893048128342246
0.01327,0.99115,224.0,3.0,2.0,200003076_00056_2,0.986784140969163,0.9911504424778761,0.988962472406181
0.00631,0.99054,314.0,2.0,3.0,200014740-00018_2,0.9936708860759493,0.9905362776025236,0.9921011058451815
0.01587,0.98413,186.0,3.0,3.0,100249476_00014_2,0.9841269841269841,0.9841269841269841,0.9841269841269841
0.01626,0.99187,122.0,2.0,1.0,200021712-00010_2,0.9838709677419355,0.991869918699187,0.9878542510121457
0.00529,0.98413,186.0,1.0,3.0,200005598_00021_2,0.9946524064171123,0.9841269841269841,0.9893617021276594
0.03145,0.96855,154.0,5.0,5.0,100249416_00027_2,0.9685534591194969,0.9685534591194969,0.9685534591194969
0.02273,0.97727,86.0,2.0,2.0,200021853-00032_2,0.9772727272727273,0.9772727272727273,0.9772727272727273
0.2963,0.88889,24.0,8.0,3.0,200021869-00015_2,0.75,0.8888888888888888,0.8135593220338982
0.03061,0.9898,97.0,3.0,1.0,100249376_00027_1,0.97,0.9897959183673469,0.9797979797979798
0.02717,0.98913,182.0,5.0,2.0,umgy009-005,0.9732620320855615,0.9891304347826086,0.981132075471698
0.17857,1.0,28.0,5.0,0.0,100249537_00031_1,0.8484848484848485,1.0,0.9180327868852458
0.04959,0.83471,101.0,6.0,20.0,200015779_00013_1,0.9439252336448598,0.8347107438016529,0.8859649122807018
0.03704,0.91975,149.0,6.0,13.0,200021763-00027_2,0.9612903225806452,0.9197530864197531,0.9400630914826499
0.01643,0.86854,370.0,7.0,56.0,200022050-00011_2,0.9814323607427056,0.8685446009389671,0.921544209215442
0.1131,0.95238,160.0,19.0,8.0,200021712-00031_1,0.8938547486033519,0.9523809523809523,0.9221902017291065
0.00629,0.98742,157.0,1.0,2.0,200021712-00014_1,0.9936708860759493,0.9874213836477987,0.9905362776025236
0.0,0.66667,4.0,0.0,2.0,hnsd003-013,1.0,0.6666666666666666,0.8
0.00465,0.99535,214.0,1.0,1.0,200003076_00160_2,0.9953488372093023,0.9953488372093023,0.9953488372093023
0.00417,0.9125,219.0,1.0,21.0,200015779_00022_1,0.9954545454545455,0.9125,0.9521739130434782
0.00493,0.95567,194.0,1.0,9.0,hnsd006-008,0.9948717948717949,0.9556650246305419,0.9748743718592966
0.0,0.96348,343.0,0.0,13.0,brsk002-045,1.0,0.9634831460674157,0.9814020028612304
0.01894,0.82197,217.0,5.0,47.0,200015779_00020_2,0.9774774774774775,0.821969696969697,0.8930041152263375
0.03268,0.97386,149.0,5.0,4.0,200015779_00074_2,0.9675324675324676,0.9738562091503268,0.970684039087948
0.01791,0.95821,321.0,6.0,14.0,brsk003-039,0.981651376146789,0.9582089552238806,0.9697885196374623
0.2,1.0,40.0,8.0,0.0,100249537_00004_1,0.8333333333333334,1.0,0.9090909090909091
2.17647,0.88235,15.0,37.0,2.0,200021660-00029_2,0.28846153846153844,0.8823529411764706,0.4347826086956522
0.0,0.9913,228.0,0.0,2.0,200003076_00049_1,1.0,0.991304347826087,0.9956331877729258
0.01382,0.95853,208.0,3.0,9.0,umgy012-035,0.985781990521327,0.9585253456221198,0.9719626168224299
0.14815,1.0,27.0,4.0,0.0,100249537_00075_1,0.8709677419354839,1.0,0.9310344827586207
0.0,0.99134,229.0,0.0,2.0,200003076_00106_2,1.0,0.9913419913419913,0.9956521739130434
3.0,0.33333,1.0,9.0,2.0,200021869-00003_1,0.1,0.3333333333333333,0.15384615384615383
0.00469,0.97653,208.0,1.0,5.0,200015779_00131_1,0.9952153110047847,0.9765258215962441,0.985781990521327
0.0,0.98571,207.0,0.0,3.0,200015779_00150_2,1.0,0.9857142857142858,0.9928057553956835
0.03937,0.94488,120.0,5.0,7.0,200003967_00040_1,0.96,0.9448818897637795,0.9523809523809523
0.75,1.0,12.0,9.0,0.0,200006663_00003_2,0.5714285714285714,1.0,0.7272727272727273
0.01685,0.90449,322.0,6.0,34.0,200004148_00052_1,0.9817073170731707,0.9044943820224719,0.9415204678362574
0.01923,0.94231,196.0,4.0,12.0,hnsd007-023,0.98,0.9423076923076923,0.9607843137254902
0.01639,0.95902,117.0,2.0,5.0,100249376_00050_2,0.9831932773109243,0.9590163934426229,0.9709543568464729
0.23077,0.76923,10.0,3.0,3.0,umgy007-039,0.7692307692307693,0.7692307692307693,0.7692307692307693
0.00495,0.98515,199.0,1.0,3.0,umgy010-019,0.995,0.9851485148514851,0.9900497512437811
0.02,0.98667,148.0,3.0,2.0,umgy007-025,0.9801324503311258,0.9866666666666667,0.983388704318937
0.33333,1.0,3.0,1.0,0.0,umgy003-012,0.75,1.0,0.8571428571428571
0.02286,0.98857,173.0,4.0,2.0,umgy003-031,0.9774011299435028,0.9885714285714285,0.9829545454545454
0.06173,0.98765,80.0,5.0,1.0,100249537_00085_1,0.9411764705882353,0.9876543209876543,0.963855421686747
0.11111,1.0,90.0,10.0,0.0,100249537_00039_2,0.9,1.0,0.9473684210526316
0.02128,0.98404,185.0,4.0,3.0,hnsd006-030,0.9788359788359788,0.9840425531914894,0.9814323607427056
0.08029,0.9708,133.0,11.0,4.0,100249416_00017_1,0.9236111111111112,0.9708029197080292,0.9466192170818506
0.08911,0.97525,197.0,18.0,5.0,200021660-00031_2,0.9162790697674419,0.9752475247524752,0.9448441247002397
0.03521,0.97887,139.0,5.0,3.0,200021763-00019_2,0.9652777777777778,0.9788732394366197,0.972027972027972
0.01402,0.99533,213.0,3.0,1.0,200003076_00021_2,0.9861111111111112,0.9953271028037384,0.9906976744186047
0.03723,1.0,188.0,7.0,0.0,hnsd011-007,0.9641025641025641,1.0,0.9817232375979111
0.0099,1.0,101.0,1.0,0.0,200021660-00093_2,0.9901960784313726,1.0,0.9950738916256158
0.02155,0.9181,213.0,5.0,19.0,200015779_00021_2,0.9770642201834863,0.9181034482758621,0.9466666666666667
0.02857,1.0,105.0,3.0,0.0,100241706_00020_1,0.9722222222222222,1.0,0.9859154929577464
0.0,1.0,125.0,0.0,0.0,umgy001-013,1.0,1.0,1.0
0.01667,0.98889,178.0,3.0,2.0,hnsd001-035,0.9834254143646409,0.9888888888888889,0.9861495844875346
0.01471,0.96324,131.0,2.0,5.0,200021660-00081_2,0.9849624060150376,0.9632352941176471,0.9739776951672863
0.03784,0.95676,177.0,7.0,8.0,hnsd005-029,0.9619565217391305,0.9567567567567568,0.9593495934959351
0.027132974634896233,0.961337432744043,12507.0,353.0,503.0,fold0,0.9725505443234836,0.961337432744043,0.9669114804793196
0.04545,1.0,88.0,4.0,0.0,100249537_00064_1,0.9565217391304348,1.0,0.9777777777777777
0.02273,0.98485,130.0,3.0,2.0,200021853-00008_1,0.9774436090225563,0.9848484848484849,0.981132075471698
0.00619,0.90402,292.0,2.0,31.0,200004148_00039_2,0.9931972789115646,0.9040247678018576,0.946515397082658
0.01303,0.99023,304.0,4.0,3.0,200014740-00071_1,0.987012987012987,0.990228013029316,0.9886178861788618
0.01031,0.98969,192.0,2.0,2.0,umgy012-007,0.9896907216494846,0.9896907216494846,0.9896907216494846
0.06667,0.88333,53.0,4.0,7.0,200021869-00016_2,0.9298245614035088,0.8833333333333333,0.905982905982906
0.02235,0.93855,336.0,8.0,22.0,brsk005-037,0.9767441860465116,0.9385474860335196,0.9572649572649573
0.00985,0.95074,386.0,4.0,20.0,brsk004-036,0.9897435897435898,0.9507389162561576,0.9698492462311559
0.00286,0.97714,342.0,1.0,8.0,200021660-00042_2,0.9970845481049563,0.9771428571428571,0.9870129870129869
0.01047,0.99476,190.0,2.0,1.0,200003076_00162_1,0.9895833333333334,0.9947643979057592,0.9921671018276764
0.00559,0.99441,178.0,1.0,1.0,200005598_00027_2,0.994413407821229,0.994413407821229,0.994413407821229
0.00873,0.99563,228.0,2.0,1.0,200003076_00006_1,0.991304347826087,0.9956331877729258,0.9934640522875816
0.0099,1.0,101.0,1.0,0.0,200021851_00007_2,0.9901960784313726,1.0,0.9950738916256158
0.15,0.95,76.0,12.0,4.0,hnsd004-003,0.8636363636363636,0.95,0.9047619047619048
0.04469,0.97765,175.0,8.0,4.0,umgy006-034,0.9562841530054644,0.9776536312849162,0.9668508287292817
0.01433,0.98281,343.0,5.0,6.0,brsk002-029,0.985632183908046,0.9828080229226361,0.9842180774748924
0.02151,0.98925,184.0,4.0,2.0,umgy009-002,0.9787234042553191,0.989247311827957,0.983957219251337
0.01327,0.99115,224.0,3.0,2.0,200003076_00056_2,0.986784140969163,0.9911504424778761,0.988962472406181
0.00946,0.99054,314.0,3.0,3.0,200014740-00018_2,0.9905362776025236,0.9905362776025236,0.9905362776025236
0.02116,0.98413,186.0,4.0,3.0,100249476_00014_2,0.9789473684210527,0.9841269841269841,0.9815303430079156
0.02439,0.99187,122.0,3.0,1.0,200021712-00010_2,0.976,0.991869918699187,0.9838709677419355
0.01058,0.96296,182.0,2.0,7.0,200005598_00021_2,0.9891304347826086,0.9629629629629629,0.9758713136729221
0.03145,0.97484,155.0,5.0,4.0,100249416_00027_2,0.96875,0.9748427672955975,0.9717868338557993
0.01136,0.95455,84.0,1.0,4.0,200021853-00032_2,0.9882352941176471,0.9545454545454546,0.9710982658959537
0.37037,0.96296,26.0,10.0,1.0,200021869-00015_2,0.7222222222222222,0.9629629629629629,0.8253968253968254
0.03061,1.0,98.0,3.0,0.0,100249376_00027_1,0.9702970297029703,1.0,0.9849246231155778
0.02717,0.9837,181.0,5.0,3.0,umgy009-005,0.9731182795698925,0.9836956521739131,0.9783783783783785
0.14286,1.0,28.0,4.0,0.0,100249537_00031_1,0.875,1.0,0.9333333333333333
0.06612,0.84298,102.0,8.0,19.0,200015779_00013_1,0.9272727272727272,0.8429752066115702,0.8831168831168832
0.03086,0.93827,152.0,5.0,10.0,200021763-00027_2,0.9681528662420382,0.9382716049382716,0.9529780564263323
0.02113,0.87559,373.0,9.0,53.0,200022050-00011_2,0.9764397905759162,0.8755868544600939,0.9232673267326733
0.11905,0.97024,163.0,20.0,5.0,200021712-00031_1,0.8907103825136612,0.9702380952380952,0.9287749287749287
0.0,0.98742,157.0,0.0,2.0,200021712-00014_1,1.0,0.9874213836477987,0.9936708860759493
0.0,0.66667,4.0,0.0,2.0,hnsd003-013,1.0,0.6666666666666666,0.8
0.00465,0.99535,214.0,1.0,1.0,200003076_00160_2,0.9953488372093023,0.9953488372093023,0.9953488372093023
0.00833,0.9125,219.0,2.0,21.0,200015779_00022_1,0.9909502262443439,0.9125,0.9501084598698482
0.01478,0.96552,196.0,3.0,7.0,hnsd006-008,0.9849246231155779,0.9655172413793104,0.9751243781094528
