fppc,det rate,tp,fp,fn,image_id,precision,recall,f1
0.05682,1.0,88.0,5.0,0.0,100249537_00064_1,0.946236559139785,1.0,0.9723756906077349
0.03788,0.97727,129.0,5.0,3.0,200021853-00008_1,0.9626865671641791,0.9772727272727273,0.9699248120300752
0.0,0.90093,291.0,0.0,32.0,200004148_00039_2,1.0,0.9009287925696594,0.9478827361563518
0.01954,0.99349,305.0,6.0,2.0,200014740-00071_1,0.9807073954983923,0.993485342019544,0.9870550161812297
0.01546,0.97423,189.0,3.0,5.0,umgy012-007,0.984375,0.9742268041237113,0.9792746113989637
0.08333,0.9,54.0,5.0,6.0,200021869-00016_2,0.9152542372881356,0.9,0.9075630252100839
0.00838,0.93855,336.0,3.0,22.0,brsk005-037,0.9911504424778761,0.9385474860335196,0.9641319942611191
0.01232,0.9335,379.0,5.0,27.0,brsk004-036,0.9869791666666666,0.9334975369458128,0.959493670886076
0.0,0.97714,342.0,0.0,8.0,200021660-00042_2,1.0,0.9771428571428571,0.9884393063583815
0.01047,0.99476,190.0,2.0,1.0,200003076_00162_1,0.9895833333333334,0.9947643979057592,0.9921671018276764
0.00559,0.98883,177.0,1.0,2.0,200005598_00027_2,0.9943820224719101,0.9888268156424581,0.9915966386554622
0.00873,1.0,229.0,2.0,0.0,200003076_00006_1,0.9913419913419913,1.0,0.9956521739130434
0.0495,0.9901,100.0,5.0,1.0,200021851_00007_2,0.9523809523809523,0.9900990099009901,0.970873786407767
0.1625,0.9375,75.0,13.0,5.0,hnsd004-003,0.8522727272727273,0.9375,0.8928571428571429
0.03352,0.96648,173.0,6.0,6.0,umgy006-034,0.9664804469273743,0.9664804469273743,0.9664804469273743
0.0086,0.98567,344.0,3.0,5.0,brsk002-029,0.9913544668587896,0.9856733524355301,0.9885057471264368
0.02151,1.0,186.0,4.0,0.0,umgy009-002,0.9789473684210527,1.0,0.9893617021276596
0.0177,0.98673,223.0,4.0,3.0,200003076_00056_2,0.9823788546255506,0.9867256637168141,0.9845474613686535
0.00631,0.99369,315.0,2.0,2.0,200014740-00018_2,0.9936908517350158,0.9936908517350158,0.9936908517350158
0.02646,0.98413,186.0,5.0,3.0,100249476_00014_2,0.9738219895287958,0.9841269841269841,0.9789473684210526
0.02439,0.99187,122.0,3.0,1.0,200021712-00010_2,0.976,0.991869918699187,0.9838709677419355
0.03704,0.96825,183.0,7.0,6.0,200005598_00021_2,0.9631578947368421,0.9682539682539683,0.9656992084432717
0.04403,0.97484,155.0,7.0,4.0,100249416_00027_2,0.9567901234567902,0.9748427672955975,0.9657320872274143
0.02273,0.97727,86.0,2.0,2.0,200021853-00032_2,0.9772727272727273,0.9772727272727273,0.9772727272727273
0.37037,0.7037,19.0,10.0,8.0,200021869-00015_2,0.6551724137931034,0.7037037037037037,0.6785714285714286
0.05102,0.97959,96.0,5.0,2.0,100249376_00027_1,0.9504950495049505,0.9795918367346939,0.964824120603015
0.03261,0.99457,183.0,6.0,1.0,umgy009-005,0.9682539682539683,0.9945652173913043,0.9812332439678284
0.25,1.0,28.0,7.0,0.0,100249537_00031_1,0.8,1.0,0.888888888888889
0.07438,0.95041,115.0,9.0,6.0,200015779_00013_1,0.9274193548387096,0.9504132231404959,0.9387755102040816
0.02469,0.94444,153.0,4.0,9.0,200021763-00027_2,0.9745222929936306,0.9444444444444444,0.9592476489028213
0.01174,0.84038,358.0,5.0,68.0,200022050-00011_2,0.9862258953168044,0.8403755868544601,0.9074778200253486
0.125,0.90476,152.0,21.0,16.0,200021712-00031_1,0.8786127167630058,0.9047619047619048,0.8914956011730206
0.01887,0.99371,158.0,3.0,1.0,200021712-00014_1,0.9813664596273292,0.9937106918238994,0.9874999999999999
0.5,0.83333,5.0,3.0,1.0,hnsd003-013,0.625,0.8333333333333334,0.7142857142857143
0.01395,0.99535,214.0,3.0,1.0,200003076_00160_2,0.9861751152073732,0.9953488372093023,0.9907407407407408
0.01667,0.91667,220.0,4.0,20.0,200015779_00022_1,0.9821428571428571,0.9166666666666666,0.9482758620689654
0.02463,0.95567,194.0,5.0,9.0,hnsd006-008,0.9748743718592965,0.9556650246305419,0.965174129353234
0.0,0.97753,348.0,0.0,8.0,brsk002-045,1.0,0.9775280898876404,0.9886363636363636
0.00758,0.88636,234.0,2.0,30.0,200015779_00020_2,0.9915254237288136,0.8863636363636364,0.936
0.01961,0.98039,150.0,3.0,3.0,200015779_00074_2,0.9803921568627451,0.9803921568627451,0.9803921568627451
0.0209,0.97612,327.0,7.0,8.0,brsk003-039,0.9790419161676647,0.9761194029850746,0.9775784753363229
0.125,1.0,40.0,5.0,0.0,100249537_00004_1,0.8888888888888888,1.0,0.9411764705882353
2.29412,0.76471,13.0,39.0,4.0,200021660-00029_2,0.25,0.7647058823529411,0.37681159420289856
0.00435,0.9913,228.0,1.0,2.0,200003076_00049_1,0.9956331877729258,0.991304347826087,0.9934640522875816
0.02765,0.95853,208.0,6.0,9.0,umgy012-035,0.9719626168224299,0.9585253456221198,0.9651972157772621
0.22222,1.0,27.0,6.0,0.0,100249537_00075_1,0.8181818181818182,1.0,0.9
0.00866,0.99567,230.0,2.0,1.0,200003076_00106_2,0.9913793103448276,0.9956709956709957,0.9935205183585313
1.33333,0.66667,2.0,4.0,1.0,200021869-00003_1,0.3333333333333333,0.6666666666666666,0.4444444444444444
0.00469,0.98592,210.0,1.0,3.0,200015779_00131_1,0.995260663507109,0.9859154929577465,0.9905660377358492
0.01429,0.98571,207.0,3.0,3.0,200015779_00150_2,0.9857142857142858,0.9857142857142858,0.9857142857142858
0.05512,0.92126,117.0,7.0,10.0,200003967_00040_1,0.9435483870967742,0.9212598425196851,0.9322709163346614
1.08333,1.0,12.0,13.0,0.0,200006663_00003_2,0.48,1.0,0.6486486486486487
0.01404,0.88764,316.0,5.0,40.0,200004148_00052_1,0.9844236760124611,0.8876404494382022,0.9335302806499262
0.01923,0.96154,200.0,4.0,8.0,hnsd007-023,0.9803921568627451,0.9615384615384616,0.970873786407767
0.0082,0.95902,117.0,1.0,5.0,100249376_00050_2,0.9915254237288136,0.9590163934426229,0.9749999999999999
0.23077,0.84615,11.0,3.0,2.0,umgy007-039,0.7857142857142857,0.8461538461538461,0.8148148148148148
0.00495,0.98515,199.0,1.0,3.0,umgy010-019,0.995,0.9851485148514851,0.9900497512437811
0.01333,0.96667,145.0,2.0,5.0,umgy007-025,0.9863945578231292,0.9666666666666667,0.9764309764309764
0.0,1.0,3.0,0.0,0.0,umgy003-012,1.0,1.0,1.0
0.04571,0.98857,173.0,8.0,2.0,umgy003-031,0.9558011049723757,0.9885714285714285,0.9719101123595505
0.06173,0.98765,80.0,5.0,1.0,100249537_00085_1,0.9411764705882353,0.9876543209876543,0.963855421686747
0.12222,1.0,90.0,11.0,0.0,100249537_00039_2,0.8910891089108911,1.0,0.9424083769633509
0.01596,0.98936,186.0,3.0,2.0,hnsd006-030,0.9841269841269841,0.9893617021276596,0.986737400530504
0.07299,0.9708,133.0,10.0,4.0,100249416_00017_1,0.9300699300699301,0.9708029197080292,0.9500000000000001
0.08416,1.0,202.0,17.0,0.0,200021660-00031_2,0.9223744292237442,1.0,0.9596199524940617
0.07042,0.97183,138.0,10.0,4.0,200021763-00019_2,0.9324324324324325,0.971830985915493,0.9517241379310345
0.00467,0.99533,213.0,1.0,1.0,200003076_00021_2,0.9953271028037384,0.9953271028037384,0.9953271028037384
0.04787,1.0,188.0,9.0,0.0,hnsd011-007,0.9543147208121827,1.0,0.9766233766233766
0.0198,0.9901,100.0,2.0,1.0,200021660-00093_2,0.9803921568627451,0.9900990099009901,0.9852216748768472
0.02586,0.94397,219.0,6.0,13.0,200015779_00021_2,0.9733333333333334,0.9439655172413793,0.9584245076586434
0.02857,1.0,105.0,3.0,0.0,100241706_00020_1,0.9722222222222222,1.0,0.9859154929577464
0.056,1.0,125.0,7.0,0.0,umgy001-013,0.946969696969697,1.0,0.9727626459143969
0.01667,0.98889,178.0,3.0,2.0,hnsd001-035,0.9834254143646409,0.9888888888888889,0.9861495844875346
0.03676,0.95588,130.0,5.0,6.0,200021660-00081_2,0.9629629629629629,0.9558823529411765,0.959409594095941
0.03784,0.96757,179.0,7.0,6.0,hnsd005-029,0.9623655913978495,0.9675675675675676,0.9649595687331537
0.03112990007686395,0.963489623366641,12535.0,405.0,475.0,fold0,0.9687017001545595,0.963489623366641,0.9660886319845857
0.06818,1.0,88.0,6.0,0.0,100249537_00064_1,0.9361702127659575,1.0,0.967032967032967
